Codice ISTAT,Regione,Provincia,Nome,CAP,Abitanti,Zona climatica,Gradi giorno,Altezza SLM,Zona sismica
19084001,SICILIA,AG,AGRIGENTO,92100,55283,B,729,230,2
19084002,SICILIA,AG,ALESSANDRIA DELLA ROCCA,92010,5153,C,1311,533,2
19084003,SICILIA,AG,ARAGONA,92021,10416,C,1149,400,2
19084004,SICILIA,AG,BIVONA,92010,5076,C,1268,503,2
19084005,SICILIA,AG,BURGIO,92010,3562,C,1002,317,2
19084006,SICILIA,AG,CALAMONACI,92010,1541,C,988,307,2
19084007,SICILIA,AG,CALTABELLOTTA,92010,5059,D,1949,949,2
19084008,SICILIA,AG,CAMASTRA,92020,3034,C,1078,340,4
19084009,SICILIA,AG,CAMMARATA,92022,6332,D,1605,682,2
19084010,SICILIA,AG,CAMPOBELLO DI LICATA,92023,12275,C,1044,316,4
19084011,SICILIA,AG,CANICATTI’,92024,32344,D,1418,465,4
19084012,SICILIA,AG,CASTELTERMINI,92025,10132,C,1384,554,2
19084013,SICILIA,AG,CASTROFILIPPO,92020,3581,D,1425,470,4
19084014,SICILIA,AG,CATTOLICA ERACLEA,92011,6188,B,849,180,2
19084015,SICILIA,AG,CIANCIANA,92012,5103,C,1106,390,2
19084016,SICILIA,AG,COMITINI,92020,1046,C,1077,350,4
19084017,SICILIA,AG,FAVARA,92026,32237,C,1060,338,4
19084018,SICILIA,AG,GROTTE,92020,7449,C,1314,516,4
19084019,SICILIA,AG,JOPPOLO GIANCAXIO,92010,1460,C,970,275,2
19084020,SICILIA,AG,LAMPEDUSA E LINOSA,92010,5624,A,568,16,4
19084021,SICILIA,AG,LICATA,92027,41300,B,604,8,4
19084022,SICILIA,AG,LUCCA SICULA,92010,2299,C,1282,513,2
19084023,SICILIA,AG,MENFI,92013,13251,B,825,119,1
19084024,SICILIA,AG,MONTALLEGRO,92010,3515,B,735,100,2
19084025,SICILIA,AG,MONTEVAGO,92010,3325,C,1189,380,1
19084026,SICILIA,AG,NARO,92028,10071,C,1320,520,4
19084027,SICILIA,AG,PALMA DI MONTECHIARO,92020,24077,B,829,165,4
19084028,SICILIA,AG,PORTO EMPEDOCLE,92014,16755,A,579,2,2
19084029,SICILIA,AG,RACALMUTO,92020,10752,C,1389,445,4
19084030,SICILIA,AG,RAFFADALI,92015,13952,C,1177,420,2
19084031,SICILIA,AG,RAVANUSA,92029,16369,C,1051,320,4
